row_id,study_key,arxiv_id,source_url,date,authors,affiliation_type,model,version_pin,task_family,dataset,n,reference_label_type,metric,value,interval_low,interval_high,interval_type,value_key,comparator,comparator_value,comparator_tuning_budget,cost_or_latency,hardware_or_provider,calibration_quantity,post_hoc_calibration,cascade_result,test_set_exposure,code_available,excerpt,location,extractor,ledger_version
L409,deng2026jev,2609.24965,https://arxiv.org/abs/2609.24965,2026-09-21,"Deng, Fan, Zhang, Xie",academic,GPT-5.6 Luna,not reported,scientific workflow,20 scientific Choices / 10 cases (source-grounded),100 semantic answers (20 Choices x 5 reps); 50 case-level decisions,human_adjudicated,semantic_accuracy_pct,99.0,,,,deng2026jev.lunaSemanticAccuracy,Jev 1.13,100.0,same prompt,"median 1.509 s, p95 2.753 s, $0.2025/1,000 (estimate)",,,,,new,not reported,GPT-5.6 Luna | 50 | 99 | 49 | 50 | 1.509 | 2.753 | 0.2025(e); Luna made one wrong selection,Table 1; section 3.1,ledger-extract-C,1.0
L410,deng2026jev,2609.24965,https://arxiv.org/abs/2609.24965,2026-09-21,"Deng, Fan, Zhang, Xie",academic,Qwen3.8 Flash,not reported,scientific workflow,20 scientific Choices / 10 cases (source-grounded),100 semantic answers (20 Choices x 5 reps); 50 case-level decisions,human_adjudicated,response_availability_pct,84.0,,,,deng2026jev.qwenFlashAvailability,Jev 1.13,100.0,same prompt,42/50 requests returned,,,,,new,not reported,Qwen3.8 Flash | 42 | 83 | 41 | 42 | 14.182 | 34.320 | 0.4013(r),Table 1,ledger-extract-C,1.0
L411,deng2026jev,2609.24965,https://arxiv.org/abs/2609.24965,2026-09-21,"Deng, Fan, Zhang, Xie",academic,Qwen3.8 Flash,not reported,scientific workflow,20 scientific Choices / 10 cases (source-grounded),100 semantic answers (20 Choices x 5 reps); 50 case-level decisions,human_adjudicated,semantic_accuracy_pct_conditional_on_response,98.8,,,,deng2026jev.qwenFlashConditionalSemanticAccuracy,Jev 1.13,100.0,same prompt,83/84 correct among received responses (planned-denominator 83/100),,,,,new,not reported,Qwen3.8 Flash 83/84 41/42 42/42,Table 5 (Appendix C),ledger-extract-C,1.0
L412,deng2026jev,2609.24965,https://arxiv.org/abs/2609.24965,2026-09-21,"Deng, Fan, Zhang, Xie",academic,"pooled comparators (GPT-5.6 Luna, Qwen3.8 Flash, Qwen3.8 Max)",not reported,scientific workflow,20 scientific Choices / 10 cases (source-grounded),100 semantic answers (20 Choices x 5 reps); 50 case-level decisions,human_adjudicated,downstream_error_with_correct_label_n,7,,,,deng2026jev.cultureHistoryErrorsN,Jev 1.13,0,same prompt,,,,,Seven wrong semantic selections on one culture-history question changed downstream growth-history counts while the final consistency label stayed correct (label-only scoring would miss the error).,new,not reported,"Across the 588 received results, all final labels were correct, while 581 downstream outputs were exact. This difference represents seven responses on one scientific question.",section 3.2,ledger-extract-C,1.0
L413,deng2026jev,2609.24965,https://arxiv.org/abs/2609.24965,2026-09-21,"Deng, Fan, Zhang, Xie",academic,all 12 configurations (pooled),not reported,scientific workflow,20 scientific Choices / 10 cases (source-grounded),100 semantic answers (20 Choices x 5 reps); 50 case-level decisions,human_adjudicated,choice_accuracy_pct_pooled,99.4,,,,deng2026jev.pooledChoiceAccuracy,,,same prompt,,,,,,new,not reported,"All 588 received labels match their references, compared with 581 exact downstream results and 1,169 correct Choices out of 1,176.",Appendix C,ledger-extract-C,1.0
L414,yu2026visual,2609.25845,https://arxiv.org/abs/2609.25845,2026-09-22,"Yu, Yao",mixed,"Visual Jev (Qwen3-VL-4B, answer SFT)","Qwen3-VL-4B-Instruct + LoRA, answer SFT",classification,GQA+SNLI-VE+TextVQA+TallyQA (macro),"4-benchmark macro average, 3 seeds",human_adjudicated,macro_accuracy,0.761,,,+/- 0.002 (seed SD),yu2026visual.answerSftMacroAccuracy,4B original backbone (no post-training),0.706,fine-tuned,,,,,,public-pre-2026,"yes (project GitHub, URL not resolved in plain-text extraction)","Across four benchmarks, answer-supervised post-training raises equal-weight macro accuracy from 0.706 to 0.761, with the gain concentrated on the two task families represented in training.",Abstract; Table 2,ledger-extract-C,1.0
L415,yu2026visual,2609.25845,https://arxiv.org/abs/2609.25845,2026-09-22,"Yu, Yao",mixed,"Visual Jev (Qwen3-VL-4B, original backbone)","Qwen3-VL-4B-Instruct, no post-training",classification,GQA+SNLI-VE+TextVQA+TallyQA (macro),"4-benchmark macro average, 1 seed",human_adjudicated,macro_accuracy,0.706,,,,yu2026visual.originalBackboneMacroAccuracy,Visual Jev (4B answer SFT),0.761,not reported (zero-shot instruction-tuned checkpoint),,,,,,public-pre-2026,"yes (project GitHub, URL not resolved in plain-text extraction)",4B original backbone | LM | 1 | 0.879 | 0.629 | 0.974 | 0.340 | 0.706,Table 2,ledger-extract-C,1.0
L416,yu2026visual,2609.25845,https://arxiv.org/abs/2609.25845,2026-09-22,"Yu, Yao",mixed,"Visual Jev (Qwen3-VL-8B, answer SFT)","Qwen3-VL-8B-Instruct + LoRA, answer SFT",classification,GQA+SNLI-VE+TextVQA+TallyQA (macro),"4-benchmark macro average, 3 seeds",human_adjudicated,macro_accuracy,0.780,,,+/- 0.008 (seed SD),yu2026visual.answerSft8bMacroAccuracy,8B original backbone,0.747,fine-tuned,"amortized time +29%, peak memory +80% vs 4B on shared batched path",,,,,public-pre-2026,"yes (project GitHub, URL not resolved in plain-text extraction)","Under the same answer-SFT recipe, the 8B model improves mean macro accuracy by +0.018. Its observed seed range (0.771-0.790) does not overlap the 4B range (0.758-0.764)... On the shared batched path, 8B increases amortized time by 29% and peak memory by 80%.",section 6; Table 4,ledger-extract-C,1.0
L417,yu2026visual,2609.25845,https://arxiv.org/abs/2609.25845,2026-09-22,"Yu, Yao",mixed,"Visual Jev (4B, decision CE typed head)","Qwen3-VL-4B-Instruct + LoRA, typed Choice/Claim head",classification,GQA+SNLI-VE+TextVQA+TallyQA (macro),"4-benchmark macro average, 3 seeds",human_adjudicated,macro_accuracy,0.761,,,+/- 0.001 (seed SD); range 0.760-0.763,yu2026visual.decisionCeMacroAccuracy,"Visual Jev (4B answer SFT, LM head)",0.761 (range 0.758-0.764),fine-tuned (matched data/budget/readout position),,,,,,public-pre-2026,"yes (project GitHub, URL not resolved in plain-text extraction)","The two systems both round to 0.761 macro accuracy; their three-seed ranges overlap (0.758-0.764 for answer SFT and 0.760-0.763 for decision CE). We therefore observe no consistent advantage for the decision head under these data, seeds and budgets.","section 5.1, 'A specialized head is not necessary for the observed gain'; Table 2",ledger-extract-C,1.0
L418,yu2026visual,2609.25845,https://arxiv.org/abs/2609.25845,2026-09-22,"Yu, Yao",mixed,"Visual Jev (4B, decision CE, K<=4 training only)","typed 16-slot head, trained on K<=4 options only",classification,"TextVQA (held out, K=8)",,human_adjudicated,accuracy,0.639,,,+/- 0.022 (seed SD),yu2026visual.slotCoverageFailureTextVqa,"Visual Jev (4B decision CE, full K=2-8 training)",0.973,fine-tuned,,,,,,public-pre-2026,"yes (project GitHub, URL not resolved in plain-text extraction)","On held-out eight-option TextVQA, it scores 0.639 rather than 0.973 after option counts are varied from 2 to 8 during training.","section 6, 'Slot coverage is a constraint on typed heads'; Table 2",ledger-extract-C,1.0
L419,yu2026visual,2609.25845,https://arxiv.org/abs/2609.25845,2026-09-22,"Yu, Yao",mixed,Visual Jev (4B) execution paths,"Qwen3-VL-4B-Instruct + LoRA, LM-head readout",classification,GQA execution-test (N=32 questions/image),"7,532 GQA execution-test questions",human_adjudicated,amortized_latency_ms_per_question_speedup_ratio,8.9,,,,yu2026visual.sharedBatchedSpeedupVsIndependent,"independent serial execution (no reuse, no batching)",50.7 ms/question -> 5.7 ms/question (prefix share + batch),"not applicable (serving comparison, same model)",prefix_share_batch: 5.7 ms/q at N=32 (peak memory 10.10 GiB) vs independent: 50.7 ms/q (peak memory 8.40 GiB),"1x NVIDIA RTX 5090 (32GB), bfloat16, PyTorch 2.14, CUDA 13.0",,,,public-pre-2026,"yes (project GitHub, URL not resolved in plain-text extraction)","At N = 32, independent serial execution takes 50.7 ms per question after amortization... Together they yield 8.9x and 176 questions/s instead of 20.","section 5.2, 'Batching and sharing both contribute'; Table 3",ledger-extract-C,1.0
L420,yu2026visual,2609.25845,https://arxiv.org/abs/2609.25845,2026-09-22,"Yu, Yao",mixed,Visual Jev (4B) execution paths,"Qwen3-VL-4B-Instruct + LoRA, LM-head readout",classification,GQA execution-test (N=32 questions/image),"7,532 GQA execution-test questions",human_adjudicated,amortized_latency_ms_per_question_speedup_ratio_vs_batched_norelse,3.4,,,,yu2026visual.sharedBatchedSpeedupVsBatchedNoReuse,"already-batched, no prefix reuse",19.3 ms/question -> 5.7 ms/question (prefix share + batch),"not applicable (serving comparison, same model)","prefix_share_batch: 5.7 ms/q vs independent_batch (no reuse): 19.3 ms/q, both at N=32","1x NVIDIA RTX 5090 (32GB), bfloat16",,,,public-pre-2026,"yes (project GitHub, URL not resolved in plain-text extraction)","Batching the full sequences without reuse reduces this to 19.3 ms, a 2.6x gain. Reusing the prefix at the same batching level reduces it further to 5.7 ms, a 3.4x gain.","section 5.2, 'Batching and sharing both contribute'; Table 3",ledger-extract-C,1.0
L421,yu2026visual,2609.25845,https://arxiv.org/abs/2609.25845,2026-09-22,"Yu, Yao",mixed,Visual Jev (4B) execution paths,"Qwen3-VL-4B-Instruct + LoRA, LM-head readout",classification,GQA execution-test (N=32 questions/image),"7,532 GQA execution-test questions",human_adjudicated,throughput_questions_per_s,176,,,,yu2026visual.sharedBatchedThroughput,independent serial execution,20,not applicable,peak memory 10.10 GiB (shared batched) vs 8.40 GiB (independent),"1x NVIDIA RTX 5090 (32GB), bfloat16",,,,public-pre-2026,"yes (project GitHub, URL not resolved in plain-text extraction)",Together they yield 8.9x and 176 questions/s instead of 20.,section 5.2; Table 3,ledger-extract-C,1.0
L422,yu2026visual,2609.25845,https://arxiv.org/abs/2609.25845,2026-09-22,"Yu, Yao",mixed,"B2 decision CE (typed head, in-distribution)","Qwen3-VL-4B + LoRA, decision CE, temperature-scaled",classification,in-distribution test split (GQA/SNLI-VE/TextVQA/TallyQA),,human_adjudicated,brier_score,0.126,,,+/- 0.002 (seed SD),yu2026visual.b2DecisionCeBrier,B1 backbone (no decision training),0.179,fine-tuned,,,"Brier / NLL (temperature-scaled, not binned ECE)",temperature,,public-pre-2026,"yes (project GitHub, URL not resolved in plain-text extraction)",B2 decision CE | 0.916 +/- 0.002 | 0.923 +/- 0.001 | 0.225 +/- 0.001 | 0.126 +/- 0.002 | 0.015 +/- 0.001 | 0.892 +/- 0.014,"Appendix A, Table 6",ledger-extract-C,1.0
L423,yu2026visual,2609.25845,https://arxiv.org/abs/2609.25845,2026-09-22,"Yu, Yao",mixed,M sufficiency variant (answerability + ranking + consistency),"Qwen3-VL-4B + LoRA, +sufficiency head",classification,"GQA+SNLI-VE+TextVQA+TallyQA (macro, Table 2 definition)",,human_adjudicated,macro_accuracy,0.748,,,,yu2026visual.sufficiencyHeadMacroAccuracy,4B decision CE (no sufficiency head),0.761,fine-tuned (matched budget),,,,,,public-pre-2026,"yes (project GitHub, URL not resolved in plain-text extraction)","Adding the answerability head and paired ranking and consistency terms gives 0.748 macro accuracy versus 0.761 for decision CE alone, with the loss concentrated on SNLI-VE. The head detects missing evidence, but does not improve decisions or selective prediction in this evaluation.","section 6, 'Evidence sufficiency is not part of the main system'; Table 2, Appendix A",ledger-extract-C,1.0
L424,wu2026reflex,2609.26532,https://arxiv.org/abs/2609.26532,2026-09-22,"Wu, Lim",academic,REFLEX (Jev jev-1.13.0 + Qwen3.8-Max fallback),jev-1.13.0,agent control,REFLEX-Sim v1.2.0 (100 held-out tasks),100,human_adjudicated,success_rate,0.95,,,,wu2026reflex.reflexTau05Success,B0 strong-only (Qwen3.8-Max),0.88,same prompt,1.12 strong calls/task (R1 tau=0.5) vs 4.10 (B0),,,,"R1 tau=0.5 achieves 95% success with 1.12 strong-model calls/task, a 72.7% reduction (GMR) vs B0's 4.10 calls/task at 88% success.",new,not reported,"B0 succeeds on 88% of tasks with 4.10 strong calls per task. R1 at tau = 0.5 achieves 95% success with 1.12 calls per task, a 72.7% reduction.",section 5.1; Table 1,ledger-extract-C,1.0
L425,wu2026reflex,2609.26532,https://arxiv.org/abs/2609.26532,2026-09-22,"Wu, Lim",academic,REFLEX (Jev jev-1.13.0),jev-1.13.0,agent control,REFLEX-Sim v1.2.0 (100 held-out tasks),100,human_adjudicated,strong_model_call_reduction_pct_GMR,72.7,,,,wu2026reflex.reflexTau05Gmr,B0 strong-only,0 (reference),same prompt,1.12 vs 4.10 strong calls/task,,,,GMR = 1 - N_strong_REFLEX / N_strong_strongOnly = 0.727 at tau=0.5 (primary operating point).,new,not reported,R1 tau=0.5 | 0.95 | 1.12 | 0.727,Table 1,ledger-extract-C,1.0
L426,wu2026reflex,2609.26532,https://arxiv.org/abs/2609.26532,2026-09-22,"Wu, Lim",academic,REFLEX (Jev jev-1.13.0),jev-1.13.0,agent control,"REFLEX-Sim v1.2.0, autonomous decisions at tau=0.5",251 autonomous decisions (65 no-escalation episodes),human_adjudicated,ECE,0.129,,,,wu2026reflex.reflexConfidenceEce,,,,,,ECE (binning method not specified) / Brier,none,,new,not reported,"Calibration is moderate, with a Brier score of 0.103 and ECE of 0.129.",section 5.1,ledger-extract-C,1.0
L427,wu2026reflex,2609.26532,https://arxiv.org/abs/2609.26532,2026-09-22,"Wu, Lim",academic,REFLEX (Jev jev-1.13.0),jev-1.13.0,agent control,"REFLEX-Sim v1.2.0, autonomous decisions at tau=0.5",251 autonomous decisions,human_adjudicated,AURC,0.019,,,,wu2026reflex.reflexAurc,random escalation at matched coverage,0.145,not applicable,,,AURC (risk-coverage),none,,new,not reported,"The reported AURC is 0.019, compared with 0.145 for random escalation at matched coverage, approximately 7.6x lower using the displayed values.",section 5.1,ledger-extract-C,1.0
L428,wu2026reflex,2609.26532,https://arxiv.org/abs/2609.26532,2026-09-22,"Wu, Lim",academic,"REFLEX (Jev, cross-family: Qwen3.8-Max)",jev-1.13.0,agent control,REFLEX-Sim v1.2.0 (E6 cross-family run),100,human_adjudicated,strong_model_call_reduction_pct_GMR,71.9,,,,wu2026reflex.e6QwenGmr,strong-only (Qwen3.8-Max),0 (reference); success 0.91 vs REFLEX 0.95,"same prompt, fixed reasoning effort",,,,,"Cross-family E6: Qwen GMR 0.719, success delta +0.04 (95% CI [-0.010,+0.090]), non-inferiority criterion met.",new,not reported,Qwen3.8-Max | 0.91 | 0.95 | +0.04 | 0.719,Table 4,ledger-extract-C,1.0
L429,wu2026reflex,2609.26532,https://arxiv.org/abs/2609.26532,2026-09-22,"Wu, Lim",academic,"REFLEX (Jev, cross-family: Kimi K3)",jev-1.13.0,agent control,REFLEX-Sim v1.2.0 (E6 cross-family run),100,human_adjudicated,strong_model_call_reduction_pct_GMR,71.4,,,,wu2026reflex.e6KimiGmr,strong-only (Kimi K3),1.00 (ceiling) vs REFLEX 0.98,"same prompt, fixed reasoning effort",,,,,"Cross-family E6: Kimi GMR 0.714, success delta -0.02 (95% CI [-0.050,0.000]); does not meet lower-confidence-bound non-inferiority criterion (Kimi strong-only at ceiling).",new,not reported,Kimi K3 | 1.00 | 0.98 | -0.02 | 0.714,Table 4,ledger-extract-C,1.0
L430,wu2026reflex,2609.26532,https://arxiv.org/abs/2609.26532,2026-09-22,"Wu, Lim",academic,"REFLEX (Jev, cross-family: DeepSeek-V4-Pro)",jev-1.13.0,agent control,REFLEX-Sim v1.2.0 (E6 cross-family run),100,human_adjudicated,strong_model_call_reduction_pct_GMR,66.1,,,,wu2026reflex.e6DeepseekGmr,strong-only (DeepSeek-V4-Pro),0.86 (same as REFLEX),"same prompt, fixed reasoning effort",,,,,"Cross-family E6: DeepSeek GMR 0.661, success delta 0.000 (95% CI [0.000,0.000]); meets non-inferiority criterion.",new,not reported,DeepSeek-V4-Pro | 0.86 | 0.86 | +0.00 | 0.661,Table 4,ledger-extract-C,1.0
L431,wu2026reflex,2609.26532,https://arxiv.org/abs/2609.26532,2026-09-22,"Wu, Lim",academic,REFLEX (Jev jev-1.13.0),jev-1.13.0,agent control,"tau^2-bench v1.0.1 (external, 3 domains)",300 episodes (60 paired tasks x 5 conditions),task_outcome,cost_reduction_factor_vs_strong_only,3.7,,,,wu2026reflex.reflexTauBenchCostFactor,B0 Max-only,$0.2111/episode vs REFLEX $0.0572/episode,same prompt,$0.0572/episode (REFLEX tau=0.5) vs $0.2111/episode (B0),,,,"REFLEX tau=0.5 cuts per-episode cost by 3.7x vs strong-only, success 0.850 vs 0.900 (paired diff -0.050, 95% CI [-0.150,+0.050], statistically unresolved). B3 self-escalation cascade cheaper still ($0.0411) with numerically higher success (0.917), also unresolved vs REFLEX.",new,not reported,"REFLEX at tau = 0.5 reduces per-episode cost by a factor of 3.7 relative to B0 ($0.0572 versus $0.2111), with success of 0.850 versus 0.900.",section 5.4; Table 3,ledger-extract-C,1.0
L432,wu2026reflex,2609.26532,https://arxiv.org/abs/2609.26532,2026-09-22,"Wu, Lim",academic,B3 Flash cascade with self-escalation,Qwen3.8-Flash cascade,agent control,"tau^2-bench v1.0.1 (external, 3 domains)",300 episodes,task_outcome,cost_usd_per_episode,0.0411,,,,wu2026reflex.b3CostPerEpisode,REFLEX tau=0.5,0.0572,same prompt,"$0.0411/episode, success 0.917",,,,"B3 is cheaper than REFLEX and has numerically higher success (0.917 vs 0.850); paired difference +0.067 (95% CI [-0.033,+0.167]) unresolved -- 'a cheap generative cascade remains competitive when ordinary routing is already highly accurate.'",new,not reported,"B3 is cheaper than REFLEX ($0.0411) and has numerically higher success (0.917 versus 0.850), but this paired difference is also unresolved (+0.067, 95% CI [-0.033,+0.167]).",section 5.4; Table 3,ledger-extract-C,1.0
L433,wu2026reflex,2609.26532,https://arxiv.org/abs/2609.26532,2026-09-22,"Wu, Lim",academic,"external router (BFCL harness, same router/schemas)",not reported,agent control,BFCL (external),"1,800 decisions (function selection); 100 cases (relevance)",human_adjudicated,function_selection_accuracy_pct,98.4,,,,wu2026reflex.bfclFunctionSelectionAccuracy,function-relevance decision (same harness),52.0,same prompt,,,,,"Fisher exact p=5.1e-47 for the accuracy gap between function selection and relevance decisions -- 'the difficult decision is often whether to act, rather than which function to select.'",public-pre-2026,not reported,"choosing which function to call achieves 98.4% accuracy over 1,800 decisions. Deciding whether any function should be called achieves only 52.0% accuracy over 100 relevance cases (Fisher p = 5.1x10^-47).",section 5.4; Figure 5(a); Table S4,ledger-extract-C,1.0
L434,wu2026reflex,2609.26532,https://arxiv.org/abs/2609.26532,2026-09-22,"Wu, Lim",academic,REFLEX (Jev jev-1.13.0),jev-1.13.0,agent control,"RF-5C factorial (60 scenario families, 1,440 decisions)",1440,human_adjudicated,accuracy_delta_pct_points_K10_to_K50,-6.7,,,,wu2026reflex.rf5cCardinalityEffect,,,same prompt,,,,,,new,not reported,"Averaged over the four ambiguity levels, increasing K from 10 to 50 reduces accuracy by 6.7 percentage points (95% CI [-11.3,-2.5], p=0.0008).",section 5.2; Figure 3; Table S2,ledger-extract-C,1.0
L435,ma2026jevstar,2609.27331,https://arxiv.org/abs/2609.27331,2026-09-23,"Ma, Zhao, Zeng, Zhao",academic,JEV + GPT-6 Astra,JEV 1.13 + GPT-6 Astra (medium reasoning effort),agent control,Full-game StarCraft II vs built-in Zerg AI (AltitudeLE),"4 completed non-cheating games (Lv5, Lv6, Lv7x2)",task_outcome,win_rate,4/4,,,,ma2026jevstar.combinedFullGameWinRate,JEV-only,"0/1 (reached 20-minute time limit at Lv2, no win)",not reported (no fine-tuning; same prompt/adapter interface differs between systems),game time 10:49-15:55; wall time 11:18-16:31,,,,,new,yes (https://github.com/sc2musa/Jev_Star),"JEV + GPT-6 wins all four completed non-cheating matches, including two victories against Lv7, the strongest built-in opponent without cheating advantages.",section 4.2; Table 1,ledger-extract-C,1.0
L436,ma2026jevstar,2609.27331,https://arxiv.org/abs/2609.27331,2026-09-23,"Ma, Zhao, Zeng, Zhao",academic,JEV-only,JEV 1.13,agent control,"Full-game StarCraft II vs built-in Zerg AI (AltitudeLE, Lv2)",1 game,task_outcome,outcome,time_limit_no_win,,,,ma2026jevstar.jevOnlyFullGameOutcome,JEV + GPT-6,4/4 wins at Lv5-Lv7,not reported (no fine-tuning; same prompt/adapter interface differs between systems),game time 20:00; wall time 20:40,,,,,new,yes (https://github.com/sc2musa/Jev_Star),JEV-only reaches its 20-minute game-time limit without a win.,section 4.2; Table 1,ledger-extract-C,1.0
L437,ma2026jevstar,2609.27331,https://arxiv.org/abs/2609.27331,2026-09-23,"Ma, Zhao, Zeng, Zhao",academic,JEV + GPT-6 Astra,JEV 1.13 + GPT-6 Astra,agent control,"SMAC-Hard micromanagement (35 maps, 105 episodes)",105,task_outcome,mean_enemy_elimination_pct,37.69,,,,ma2026jevstar.combinedMicroElimination,JEV-only,16.50,not reported (no fine-tuning; same prompt/adapter interface differs between systems),$0.1486/episode (JEV $0.0588 + GPT-6 $0.0898),,,,,new,yes (https://github.com/sc2musa/Jev_Star),"Mean enemy elimination rises from 16.50% to 37.69%, an increase of 21.19 percentage points, or 2.28 times the initial value. Wins increase from 3 to 7 out of 105.",section 4.4; Table 3,ledger-extract-C,1.0
L438,ma2026jevstar,2609.27331,https://arxiv.org/abs/2609.27331,2026-09-23,"Ma, Zhao, Zeng, Zhao",academic,JEV-only,JEV 1.13,agent control,"SMAC-Hard micromanagement (35 maps, 105 episodes)",105,task_outcome,mean_enemy_elimination_pct,16.50,,,,ma2026jevstar.jevOnlyMicroElimination,JEV + GPT-6,37.69,not reported (no fine-tuning; same prompt/adapter interface differs between systems),$0.0448/episode,,,,,new,yes (https://github.com/sc2musa/Jev_Star),JEV-only | 3/2/100 | 16.50% | 3/99 | 15.55%,Table 3,ledger-extract-C,1.0
L439,ma2026jevstar,2609.27331,https://arxiv.org/abs/2609.27331,2026-09-23,"Ma, Zhao, Zeng, Zhao",academic,JEV + GPT-6 Astra,JEV 1.13 + GPT-6 Astra,agent control,"SMAC-Hard micromanagement (35 maps, 105 episodes)",105,task_outcome,wins_n,7,,,,ma2026jevstar.combinedMicroWins,JEV-only,3,not reported (no fine-tuning; same prompt/adapter interface differs between systems),,,,,,new,yes (https://github.com/sc2musa/Jev_Star),Wins increase from 3 to 7 out of 105.,section 4.4; Table 3,ledger-extract-C,1.0
L440,ma2026jevstar,2609.27331,https://arxiv.org/abs/2609.27331,2026-09-23,"Ma, Zhao, Zeng, Zhao",academic,"JEV (macro, standalone)",JEV 1.13,agent control,Full-game macro action responses,"1,023",task_outcome,response_latency_s_p50,0.406,,,,ma2026jevstar.jevOnlyMacroLatencyP50,"JEV (macro, combined with GPT-6)",0.422,not reported (no fine-tuning; same prompt/adapter interface differs between systems),P50/P95 0.406/0.579 s,,,,,new,yes (https://github.com/sc2musa/Jev_Star),"Macro | JEV-only | 1,023 | 0.406/0.579 | 0 | -","section 4.6, 'Frequent actions remain subsecond'; Table 5",ledger-extract-C,1.0
L441,ma2026jevstar,2609.27331,https://arxiv.org/abs/2609.27331,2026-09-23,"Ma, Zhao, Zeng, Zhao",academic,"JEV (macro, combined with GPT-6)",JEV 1.13,agent control,Full-game macro action responses (4 non-cheating wins),"2,905",task_outcome,response_latency_s_p50,0.422,,,,ma2026jevstar.combinedMacroLatencyP50,GPT-6 Astra planning (same setting),27.601 s (P50),not reported (no fine-tuning; same prompt/adapter interface differs between systems),P50/P95 0.422/0.531 s (JEV); GPT-6 planning P50/P95 27.601/36.492 s (n=62),,,,,new,yes (https://github.com/sc2musa/Jev_Star),Median JEV latency is 0.406 seconds for standalone macro control and 0.422 seconds with planning... GPT-6 planning is less frequent but slower: median latency is 27.60 seconds in macro control.,section 4.6; Table 5,ledger-extract-C,1.0
L442,ma2026jevstar,2609.27331,https://arxiv.org/abs/2609.27331,2026-09-23,"Ma, Zhao, Zeng, Zhao",academic,JEV + GPT-6 Astra,JEV 1.13 + GPT-6 Astra,agent control,Full-game macro (4 non-cheating wins),4,task_outcome,cost_usd_per_game_mean,3.7103,,,,ma2026jevstar.combinedFullGameCost,JEV-only,0.1069,not reported (no fine-tuning; same prompt/adapter interface differs between systems),JEV $0.1499/game + GPT-6 $3.5604/game; total range $2.83-$4.52,,,,,new,yes (https://github.com/sc2musa/Jev_Star),JEV accounts for USD 0.1499 per game and GPT-6 for USD 3.5604: planning contributes 96.0% of the total.,"section 4.6, 'A complete game includes both models'; Table 6",ledger-extract-C,1.0
L443,ma2026jevstar,2609.27331,https://arxiv.org/abs/2609.27331,2026-09-23,"Ma, Zhao, Zeng, Zhao",academic,JEV-only,JEV 1.13,agent control,"Full-game macro (1 game, Lv2)",1,task_outcome,cost_usd_per_game_mean,0.1069,,,,ma2026jevstar.jevOnlyFullGameCost,JEV + GPT-6,3.7103,not reported (no fine-tuning; same prompt/adapter interface differs between systems),"all JEV, $0 GPT-6",,,,,new,yes (https://github.com/sc2musa/Jev_Star),Macro | JEV-only | 1 | 0.1069 | 0.0000 | 0.1069 | 1239.8,Table 6,ledger-extract-C,1.0
L444,ma2026jevstar,2609.27331,https://arxiv.org/abs/2609.27331,2026-09-23,"Ma, Zhao, Zeng, Zhao",academic,JEV + GPT-6 Astra (Lv8 stress test),JEV 1.13 + GPT-6 Astra,agent control,Full-game StarCraft II vs built-in AI with vision advantage (Lv8),1,task_outcome,outcome,loss,,,,ma2026jevstar.lv8StressTestOutcome,,,not reported (no fine-tuning; same prompt/adapter interface differs between systems),game time 10:14; wall time 10:43,,,,,new,yes (https://github.com/sc2musa/Jev_Star),"This game ends in defeat at 10:14. At five minutes, the agent's army resource value is 900 versus the opponent's 1,525; its first Immortal appears only at 6:25. It never issues an attack command.","section 4.2, 'Stress test with privileged vision'; Table 1",ledger-extract-C,1.0
L445,li2026kite,2609.27535,https://arxiv.org/abs/2609.27535,2026-09-23,Li,academic,Jev (kernel),jev-1.13.0,social-science annotation,Epstein misinformation-sharing experiment,"9,070 participants; 73,600 kernel predictions",human_crowd,effect_MAE,0.0305,0.0242,0.0412,95% participant-bootstrap CI,li2026kite.epsteinKernelEffectMae,Hybrid (Jev + sparse Astra anchors),0.0180,same prompt (fixed p3 contract),"73,600 kernel predictions cost $1.60",,,,,public-pre-2026,partial,"Kernel | 0.0305 [0.0242, 0.0412] | 0.0376 | 0.033",Table 2; section 7.1,ledger-extract-C,1.0
L446,li2026kite,2609.27535,https://arxiv.org/abs/2609.27535,2026-09-23,Li,academic,Hybrid (Jev + sparse Astra paired-anchor correction),"jev-1.13.0 kernel + GPT-6 Astra anchors (1,080 anchors, 1.7% of states)",social-science annotation,Epstein misinformation-sharing experiment,"9,070 participants; 1,080 paired anchor predictions (1.7% of 64,000 application states)",human_crowd,effect_MAE,0.0180,0.0132,0.0289,95% participant-bootstrap CI,li2026kite.epsteinHybridEffectMae,Jev (kernel only),0.0305,same prompt (fixed p3 contract) + sparse flagship anchor calls,"1,080 anchors + 9,000 audit predictions = 4.10 million Codex tokens",,,,"Sparse flagship (Astra) paired-anchor correction on 1.7% of states reduces Epstein effect MAE by 41% (0.0305 -> 0.0180), paired improvement 0.0125 [0.0064, 0.0167].",public-pre-2026,partial,"Effect MAE falls by 41% (Table 2). The paired absolute-error improvement is 0.0125, with participant-bootstrap interval [0.0064, 0.0167].",section 7.1; Table 2,ledger-extract-C,1.0
